Product ID,Product Name,Edit URL,Current Fitment Text,Issue Type,Make,Models,Engine Code,Fuel Type,Year Range,Notes/Instructions
10693,"23670-0L050 Genuine 1KD Toyota Hilux Injector 095000-8290 for Peak Diesel Performance","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=10693&action=edit","Compatible with Toyota Hilux 1KD Euro 3 (2005-2006). For fitment confirmation, contact here","Complete","Toyota","Hilux","1KD","Diesel","Toyota Hilux: 2005-2006","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11406,"04226-0L010 Suction Control Valve Kit for Toyota Hilux 1KD","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11406&action=edit","Vehicle Compatibility: The 04226-0L010 SCV kit is compatible with:

 	All Toyota Hiace models

 	All Toyota Hilux models fitted with the 1KD engine

 	All Toyota Prado models fitted with the 1KD engine

Denso Pump Applications: This kit is also compatible with the following Denso pumps:

 	294000-0360

 	294000-0700

 	294000-1100","Complete","Toyota","Toyota Hiace, Toyota Hilux, Toyota Prado","1KD","Diesel","Toyota Hilux: 2005-2015; Toyota Prado: 2006-2015","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11468,"23670-39316 - New 1KD Toyota Hilux Genuine Injector 095000-7780","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11468&action=edit","Fits Toyota Hilux 1KD Euro 4 models (Late 2006 - Late 2009). For more information, please contact here","Complete","Toyota","Hilux, Prado","1KD","Diesel","Toyota Hilux: 2006-2009; Toyota Prado: 2006-2009","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11472,"Genuine Toyota Hilux 1KD Injector 23670-30400 - Upgrade Your Ride","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11472&action=edit","For fitment information, please contact here","Complete","Toyota","Hilux, Prado","1KD","Diesel","Toyota Hilux: 2009-2015; Toyota Prado: 2009-2015","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11474,"Complete 1VD Injector Fitting Kit - Gasket & Seal Kit","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11474&action=edit","Compatible with:

 	Toyota 1VD engines

 	Commonly found in LandCruiser 70 Series and 200 Series models

Not sure if it fits your build? Contact stage2.dieselgeeks.com.au/contact-us.","Complete","Toyota","LandCruiser 70 Series, 200 Series","1VD","Diesel","Toyota LandCruiser 70 Series: 2007-2025; Toyota LandCruiser 200 Series: 2007-2025","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11547,"Genuine A6860-VM09A/294200-0360 Suction Control Valve","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11547&action=edit","Compatible with:

 	Nissan Navara D40

 	Nissan Pathfinder (YD25 engine with Denso common rail)

Need help verifying pump compatibility? Contact stage2.dieselgeeks.com.au/contact-us.","Complete","Nissan","Navara D40, Pathfinder","YD25","Diesel","Nissan Navara D40: 2005-2015","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
11554,"6C1Q-9358-AB Genuine Denso Suction Control Valve for Ford Transit","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11554&action=edit","Compatible with:

 	Ford Transit 2.4L RWD - 135PS &amp; 140PS

 	Ford Transit 2.2L - 85HP models

Need help confirming compatibility? Contact stage2.dieselgeeks.com.au/contact-us.","Missing Year Range","Ford","Transit","2.4L RWD - 135PS & 140PS, 2.2L - 85HP","","","Year Range is missing or could not be parsed - this is the most common gap. Add explicit ranges per model, e.g. 'Isuzu D-Max: 2007-2016'. Avoid 'Various' without years."
11557,"1KD Injector Seat Kit for Toyota Hilux- 11176-0L011-96721-19017-90904-30013","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11557&action=edit","For fitment information, please contact here","Other","","","","","","Fitment is incomplete or partially parsed. Fill any blank columns below and ensure all key fields use the standard template format."
11560,"High-Quality 1KD Euro 3 Fuel Lines for Toyota Hilux","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=11560&action=edit","For fitment information, please contact here","Complete","Toyota","Hilux","1KD","Diesel","Toyota Hilux: 2005-2006","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
12117,"Hyundai Suction Control Valve SCV | Part No. 33130-45700","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12117&action=edit","This SCV is a direct-fit replacement for vehicles using Denso diesel fuel systems. For best results, we recommend professional installation followed by system recalibration.

Need help verifying compatibility? Contact stage2.dieselgeeks.com.au/contact-us.","Other","","","","","","Fitment is incomplete or partially parsed. Fill any blank columns below and ensure all key fields use the standard template format."
12120,"Genuine Hilux Fuel Lines to suit 1KD Euro 4","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12120&action=edit","For fitment information, please contact here","Complete","Toyota","Hilux, Prado","1KD","Diesel","Toyota Hilux: 2006-2015; Toyota Prado: 2006-2015","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
12123,"Genuine Diesel Fuel Injectors A2C59517051, BK2Q-9K546-AG for P4AT and P5AT Engines","https://stage2.dieselgeeks.com.au/wp-admin/post.php?post=12123&action=edit","Compatible with the following diesel engines:

 	2.2L P4AT Engine - Ford Ranger &amp; Mazda BT-50

 	3.2L P5AT Engine - Ford Ranger &amp; Mazda BT-50

For fitment confirmation, please contact stage2.dieselgeeks.com.au with your VIN.","Complete","Ford","Ranger","P5AT, P4AT","Diesel","Ford Ranger: 2011-2015","Core fitment fields are populated below. Reformat the fitment tab into the standard Key: value template before publishing if it is still HTML or free text."
